order_id;order_date;region;product_category;product_name;quantity;unit_price;total_sales;customer_segment
1001;23/02/2024;Jawa Barat;Fashion;Unknown;1;1650000.00;1650000.00;Individual
1002;26/11/2024;Sulawesi Selatan;Elektronik;Kamera Canon;2;5615000.00;11230000.00;Small Business
1028;16/08/2024;DKI Jakarta;Makanan & Minuman;Coklat Belgia;5;5600000.00;28000000.00;Corporate
1029;13/03/2024;Bali;Fashion;Tas Kulit Prada;3;3865000.00;11595000.00;Small Business
1030;10/08/2024;Bali;Peralatan Rumah;Mesin Cuci Sharp;4;1065000.00;4260000.00;Individual
1031;19/12/2024;Jawa Barat;Fashion;Kemeja Formal ZZZ;1;1650000.00;1650000.00;Corporate
1032;19/01/2024;Jawa Barat;Fashion;Gaun Pesta Glam;4;9630000.00;38520000.00;Individual
1033;28/05/2024;Jawa Timur;Makanan & Minuman;Teh Hijau Jepang;4;5090000.00;20360000.00;Individual
1034;18/09/2024;DKI Jakarta;Makanan & Minuman;Keripik Singkong;3;855000.00;2565000.00;Corporate
1036;07/03/2024;Bali;Makanan & Minuman;Keripik Singkong;3;8910000.00;26730000.00;Corporate
1037;24/11/2024;DKI Jakarta;Peralatan Rumah;Kipas Angin Cosmos;1;6750000.00;6750000.00;Corporate
1038;03/02/2024;Sumatera Utara;Peralatan Rumah;Blender Philips;3;8875000.00;26625000.00;Individual
1040;20/11/2024;Jawa Timur;Peralatan Rumah;Kipas Angin Cosmos;1;5205000.00;5205000.00;Corporate
1042;18/02/2024;Kalimantan Timur;Makanan & Minuman;Teh Hijau Jepang;4;305000.00;1220000.00;Small Business
1043;31/08/2024;Jawa Timur;Fashion;Tas Kulit Prada;1;3950000.00;3950000.00;Individual
1044;26/01/2024;Sulawesi Selatan;Makanan & Minuman;Kopi Arabika DEF;4;5765000.00;23060000.00;Small Business
1045;24/05/2024;Sumatera Utara;Peralatan Rumah;Kipas Angin Cosmos;4;6275000.00;25100000.00;Small Business
1046;21/04/2024;Sulawesi Selatan;Elektronik;Smartphone QWE;1;1215000.00;1215000.00;Corporate
1047;08/05/2024;Bali;Fashion;Tas Kulit Prada;5;4115000.00;20575000.00;Corporate
1048;04/11/2024;Sumatera Utara;Makanan & Minuman;Coklat Belgia;2;5200000.00;10400000.00;Small Business
1049;14/10/2024;Sulawesi Selatan;Elektronik;Headphone XYZ;4;3705000.00;14820000.00;Individual
1050;21/10/2024;Sumatera Utara;Elektronik;Headphone XYZ;2;4520000.00;9040000.00;Corporate
1051;11/03/2024;Jawa Barat;Makanan & Minuman;Coklat Belgia;5;6970000.00;34850000.00;Small Business
1052;04/09/2024;Sumatera Utara;Peralatan Rumah;Mesin Cuci Sharp;1;2935000.00;2935000.00;Small Business
1053;15/06/2024;Jawa Timur;Fashion;Tas Kulit Prada;3;1165000.00;3495000.00;Small Business
1054;11/01/2024;Jawa Timur;Peralatan Rumah;Set Panci Maxim;1;1310000.00;1310000.00;Corporate
1055;14/09/2024;Sumatera Utara;Elektronik;Laptop ASUS;4;8145000.00;32580000.00;Individual
1056;03/09/2024;Jawa Barat;Peralatan Rumah;Kipas Angin Cosmos;2;6350000.00;12700000.00;Corporate
1057;10/02/2024;Sulawesi Selatan;Makanan & Minuman;Unknown;5;5285000.00;26425000.00;Individual
1058;13/11/2024;Sumatera Utara;Peralatan Rumah;Mesin Cuci Sharp;1;9345000.00;9345000.00;Small Business
1060;11/01/2024;DKI Jakarta;Fashion;Sepatu Sneakers Nike;1;5140000.00;5140000.00;Small Business
1061;17/02/2024;Kalimantan Timur;Elektronik;Smartphone QWE;2;6190000.00;12380000.00;Corporate
1062;31/08/2024;Bali;Makanan & Minuman;Kopi Arabika DEF;3;8815000.00;26445000.00;Individual
1063;06/11/2024;Bali;Elektronik;Smartphone QWE;4;5920000.00;23680000.00;Corporate
1064;18/06/2024;Jawa Barat;Elektronik;Smartphone QWE;5;4440000.00;22200000.00;Individual
1065;24/08/2024;Kalimantan Timur;Makanan & Minuman;Keripik Singkong;5;4780000.00;23900000.00;Individual
