Order_ID;Order_Date;Region;Product_Category;Product_Name;Quantity;Unit_Price;Total_Sales;Customer_Segment
1001;2024-02-23;Jawa Barat;Fashion;;1;1650000;1650000;Individual
1002;2024-11-26;Sulawesi Selatan;Elektronik; Kamera Canon ;2;5615000;11230000;Small Business
1003;2024-02-13;Jawa Timur;Peralatan Rumah; Blender Philips ;3;8135000;24405000;Corporate
1004;2024-01-11;Jawa Timur;Peralatan Rumah; Blender Philips ;1;6260000;6260000;Individual
1005;2024-11-30;DKI Jakarta;Makanan & Minuman; Teh Hijau Jepang ;4;7695000;30780000;Corporate
1006;2024-01-16;Sulawesi Selatan;Makanan & Minuman; Keripik Singkong ;3;1200000;3600000;Individual
1007;2024-03-30;Bali;Fashion; Jaket Kulit ABC ;4;6125000;24500000;Corporate
1008;2024-12-13;Sulawesi Selatan;Elektronik; Smartphone QWE ;2;115000;230000;Individual
1009;2024-10-31;Jawa Timur;Makanan & Minuman; Teh Hijau Jepang ;5;3380000;16900000;
1010;2024-06-23;Kalimantan Timur;Elektronik; Tablet Samsung ;2;3585000;7170000;Small Business
1011;2024-07-26;Bali;Fashion; Kemeja Formal ZZZ ;5;9685000;48425000;Corporate
1012;2024-09-30;Jawa Barat;Makanan & Minuman; Teh Hijau Jepang ;2;3720000;7440000;Small Business
1013;2024-04-06;DKI Jakarta;Peralatan Rumah; Vacuum Cleaner LG ;3;9045000;27135000;Small Business
1014;2024-10-06;DKI Jakarta;Makanan & Minuman; Keripik Singkong ;1;9905000;9905000;Small Business
1015;2024-02-03;Jawa Timur;Elektronik; Laptop ASUS ;2;9935000;19870000;Individual
1016;2024-06-29;Bali;Peralatan Rumah; Kipas Angin Cosmos ;1;2095000;2095000;Small Business
1017;2024-04-24;Sumatera Utara;Fashion; Tas Kulit Prada ;3;5330000;15990000;Small Business
1018;2024-07-10;Sumatera Utara;Fashion; Sepatu Sneakers Nike ;5;7740000;38700000;Individual
1019;2024-10-27;Sumatera Utara;Makanan & Minuman; Kopi Arabika DEF ;1;6520000;6520000;Individual
1020;2024-12-17;DKI Jakarta;Makanan & Minuman; Keripik Singkong ;5;9075000;45375000;Small Business
1021;2024-09-02;Sulawesi Selatan;Elektronik; Laptop ASUS ;3;9745000;29235000;Corporate
1022;2024-03-06;Kalimantan Timur;Elektronik; Smartphone QWE ;3;6645000;19935000;Small Business
1023;2024-12-03;Sulawesi Selatan;Elektronik; Tablet Samsung ;5;1825000;9125000;Individual
1024;2024-11-23;;Elektronik; Tablet Samsung ;4;4955000;19820000;Individual
1025;2024-08-13;Kalimantan Timur;Peralatan Rumah; Mesin Cuci Sharp ;1;8775000;8775000;Corporate
1026;2024-06-26;Bali;Fashion; Jaket Kulit ABC ;1;9385000;9385000;Individual
1027;2024-07-25;Sumatera Utara;Elektronik; Kamera Canon ;1;9035000;9035000;Corporate
1028;2024-08-16;DKI Jakarta;Makanan & Minuman; Coklat Belgia ;5;5600000;28000000;Corporate
1029;2024-03-13;Bali;Fashion; Tas Kulit Prada ;3;3865000;11595000;Small Business
1030;2024-08-10;Bali;Peralatan Rumah; Mesin Cuci Sharp ;4;1065000;4260000;Individual
1031;2024-12-19;Jawa Barat;Fashion; Kemeja Formal ZZZ ;1;Rp1.650.000;1650000;Corporate
1032;2024-01-19;Jawa Barat;Fashion; Gaun Pesta Glam ;4;9630000;38520000;Individual
1033;2024-05-28;Jawa Timur;Makanan & Minuman; Teh Hijau Jepang ;4;5090000;20360000;Individual
1034;2024-09-18;DKI Jakarta;Makanan & Minuman; Keripik Singkong ;3;855000;2565000;Corporate
1035;2024-08-30;Bali;Elektronik; Headphone XYZ ;2;6050000;12100000;Corporate
1036;2024-03-07;Bali;Makanan & Minuman; Keripik Singkong ;3;8910000;26730000;Corporate
1037;2024-11-24;DKI Jakarta;Peralatan Rumah; Kipas Angin Cosmos ;1;6750000;6750000;Corporate
1038;2024-02-03;Sumatera Utara;Peralatan Rumah; Blender Philips ;3;8875000;26625000;Individual
1039;2024-10-27;Bali;Elektronik; Headphone XYZ ;3;70000;210000;Individual
1040;2024-11-20;Jawa Timur;Peralatan Rumah; Kipas Angin Cosmos ;1;5205000;5205000;Corporate
1041;2024-03-09;Kalimantan Timur;Elektronik;;1;4275000;4275000;Small Business
1042;2024-02-18;Kalimantan Timur;Makanan & Minuman; Teh Hijau Jepang ;4;305000;1220000;Small Business
1043;2024-08-31;Jawa Timur;Fashion; Tas Kulit Prada ;1;3950000;3950000;Individual
1044;2024-01-26;Sulawesi Selatan;Makanan & Minuman; Kopi Arabika DEF ;4;5765000;23060000;Small Business
